standardScaler(),PCA,MinMaxScaler(),"Model type 
(Classification/Regression)",Model used,Model specifics (if any),Target: what we predict,Predictor variables used,Genre as predictor,Accuracy,"F1 score 
(average)",AUC of ROC curve,AIC,"R2 score 
(test set)",MSE,Remarks (if any)
0,0,1,Regression,Ridge Regression,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,2.284386053,,
1,0,0,Regression,Ridge Regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,4.080889252,,
0,1,0,Regression,Ridge Regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,2.816208773,,
0,0,1,Regression,Ridge Regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,2.809406994,,
1,0,0,Regression,Ridge Regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,4.170529758,,
0,1,0,Regression,Ridge Regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,2.477830806,,
0,0,1,Regression,Ridge Regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,2.478309943,,
1,0,0,Regression,Lasso Regression,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,0.234567848,,
0,1,0,Regression,Lasso Regression,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,0.234567848,,
0,0,1,Regression,Lasso Regression,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,0.234567848,,
1,0,0,Regression,Lasso Regression,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,27.35078753,,
0,1,0,Regression,Lasso Regression,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,27.35503291,,
0,0,1,Regression,Lasso Regression,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,27.35078753,,
1,0,0,Regression,Lasso Regression,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,2.07270049,,
0,1,0,Regression,Lasso Regression,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,2.07202032,,
0,0,1,Regression,Lasso Regression,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,2.07270049,,
1,0,0,Regression,Lasso Regression,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,1.765731843,,
0,1,0,Regression,Lasso Regression,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,1.765847405,,
0,0,1,Regression,Lasso Regression,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,1.765731843,,
1,0,0,Regression,Lasso Regression,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,2.07298616,,
0,1,0,Regression,Lasso Regression,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,2.065776803,,
0,0,1,Regression,Lasso Regression,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,2.07298616,,
1,0,0,Regression,Lasso Regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,2.622073614,,
0,1,0,Regression,Lasso Regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,2.622386235,,
0,0,1,Regression,Lasso Regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,2.622073614,,
1,0,0,Regression,Lasso Regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,2.200467541,,
0,1,0,Regression,Lasso Regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,2.196796725,,
0,0,1,Regression,Lasso Regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,2.200467541,,
0,0,0,Classification,CNN,Resnet50,trauma,librosa mel spectrogram info,,0.5140186916,,,,,,
0,0,0,Classification,CNN,Resnet50,life_enjoyment,librosa mel spectrogram info,,0.07207207207,,,,,,
0,0,0,Classification,CNN,Resnet50,resilience,librosa mel spectrogram info,,0.02727272727,,,,,,
0,0,0,Classification,CNN,Resnet50,balanced_life,librosa mel spectrogram info,,0.04545454545,,,,,,
0,0,0,Classification,CNN,Resnet50,emotional_flex,librosa mel spectrogram info,,0.06306306306,,,,,,
0,0,0,Classification,CNN,Resnet50,self_actualization,librosa mel spectrogram info,,0.03636363636,,,,,,
1,0,0,Classification,Naive Bayes,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,NaN,,,,,,
0,1,0,Classification,Naive Bayes,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,NaN,,,,,,
0,0,1,Classification,Naive Bayes,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,NaN,,,,,,
1,0,0,Classification,Naive Bayes,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.2,,,,,,
0,1,0,Classification,Naive Bayes,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.2,,,,,,
0,0,1,Classification,Naive Bayes,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.18,,,,,,
1,0,0,Classification,Naive Bayes,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.2,,,,,,
0,1,0,Classification,Naive Bayes,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.2,,,,,,
0,0,1,Classification,Naive Bayes,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.2,,,,,,
1,0,0,Classification,Naive Bayes,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.25,,,,,,
0,1,0,Classification,Naive Bayes,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.23,,,,,,
0,0,1,Classification,Naive Bayes,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.25,,,,,,
1,0,0,Classification,Naive Bayes,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.2,,,,,,
0,1,0,Classification,Naive Bayes,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.2,,,,,,
0,0,1,Classification,Naive Bayes,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.17,,,,,,
1,0,0,Classification,Naive Bayes,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.2,,,,,,
0,1,0,Classification,Naive Bayes,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.2,,,,,,
0,0,1,Classification,Naive Bayes,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.2,,,,,,
1,0,0,Classification,Naive Bayes,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.18,,,,,,
0,1,0,Classification,Naive Bayes,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.16,,,,,,
0,0,1,Classification,Naive Bayes,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.16,,,,,,
1,0,0,Classification,Naive Bayes,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,NaN,,,,,,
0,1,0,Classification,Naive Bayes,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,NaN,,,,,,
0,0,1,Classification,Naive Bayes,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,NaN,,,,,,
1,0,0,Classification,Naive Bayes,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.2,,,,,,
0,1,0,Classification,Naive Bayes,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.2,,,,,,
0,0,1,Classification,Naive Bayes,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.18,,,,,,
1,0,0,Classification,Naive Bayes,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.2,,,,,,
0,1,0,Classification,Naive Bayes,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.2,,,,,,
0,0,1,Classification,Naive Bayes,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.2,,,,,,
1,0,0,Classification,Naive Bayes,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.25,,,,,,
0,1,0,Classification,Naive Bayes,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.23,,,,,,
0,0,1,Classification,Naive Bayes,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.25,,,,,,
1,0,0,Classification,Naive Bayes,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.2,,,,,,
0,1,0,Classification,Naive Bayes,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.2,,,,,,
0,0,1,Classification,Naive Bayes,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.17,,,,,,
1,0,0,Classification,Naive Bayes,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.2,,,,,,
0,1,0,Classification,Naive Bayes,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.2,,,,,,
0,0,1,Classification,Naive Bayes,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.2,,,,,,
1,0,0,Classification,Naive Bayes,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.18,,,,,,
0,1,0,Classification,Naive Bayes,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.16,,,,,,
0,0,1,Classification,Naive Bayes,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.16,,,,,,
1,0,0,Regression,Multiple Linear Regression,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,27.63029,
0,1,0,Regression,Multiple Linear Regression,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,27.67824,
0,0,1,Regression,Multiple Linear Regression,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,27.67824,
1,0,0,Regression,Multiple Linear Regression,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,NaN,
0,1,0,Regression,Multiple Linear Regression,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,NaN,
0,0,1,Regression,Multiple Linear Regression,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,NaN,
1,0,0,Regression,Multiple Linear Regression,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,2.08265,
0,1,0,Regression,Multiple Linear Regression,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,2.08562,
0,0,1,Regression,Multiple Linear Regression,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,2.08265,
1,0,0,Regression,Multiple Linear Regression,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,1.811993,
0,1,0,Regression,Multiple Linear Regression,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,1.84206,
0,0,1,Regression,Multiple Linear Regression,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,1.820075,
1,0,0,Regression,Multiple Linear Regression,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,2.044235,
0,1,0,Regression,Multiple Linear Regression,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,2.044235,
0,0,1,Regression,Multiple Linear Regression,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,2.044235,
1,0,0,Regression,Multiple Linear Regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,2.721791,
0,1,0,Regression,Multiple Linear Regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,2.730655,
0,0,1,Regression,Multiple Linear Regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,2.734887,
1,0,0,Regression,Multiple Linear Regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,2.212755,
0,1,0,Regression,Multiple Linear Regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,2.212755,
0,0,1,Regression,Multiple Linear Regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,,,,,,2.283011,
