gender,age,amount_music,life_enjoyment,resilience,balanced_life,emotional_flex,self_actualization,songs,trauma,id_master,total_health,health_categorical,song_order,id_song,song,artist,energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,genres
Male,18 - 30,0 - 1,2,3,2,4,4,Way Away Yellowcard,No,12,15,0.0,3,12.0,Way Away,Yellowcard,0.9590000000000001,0.35700000000000004,0.0825,0.364,179.644,3.91e-05,6.93e-06,59.0,"['bow pop', 'emo', 'modern rock', 'pop punk', 'pop rock', 'post-grunge']"
Female,18 - 30,1 - 2,4,4,5,4,5,Summertime Sadness,No,13,22,1.0,2,13.0,Summertime Sadness,Lana Del Rey,0.654,0.565,0.122,0.235,111.96799999999999,1.8000000000000001e-06,0.0542,64.0,"['dance pop', 'pop']"
Female,18 - 30,1 - 2,4,4,5,4,5,Sorry Justin Bieber ,No,13,22,1.0,3,13.0,Sorry,Justin Bieber,0.768,0.605,0.308,0.414,100.209,0.0,0.0865,81.0,"['canadian pop', 'dance pop', 'pop', 'post-teen pop']"
Male,18 - 30,1 - 2,6,6,4,5,5,Peg pugg deep karan,No,14,26,1.0,1,14.0,#Peg Pugg,Deep Karan,0.9109999999999999,0.7190000000000001,0.0592,0.873,83.05799999999998,0.0,0.489,38.0,[]
Male,18 - 30,1 - 2,6,6,4,5,5,Label black gupz sehra,No,14,26,1.0,2,14.0,Label Black,Gupz Sehra,0.875,0.612,0.32799999999999996,0.898,179.893,0.0,0.254,48.0,['punjabi pop']
Male,18 - 30,1 - 2,1,0,3,2,4,Arrival of the birds the cinematic orchestra,Yes,15,10,0.0,1,15.0,Arrival of the Birds,The Cinematic Orchestra,0.14300000000000002,0.175,0.0915,0.0662,173.33,0.9329999999999999,0.937,52.0,"['downtempo', 'ninja', 'nu jazz', 'trip hop']"
Male,18 - 30,1 - 2,1,0,3,2,4,Waltz for life will be born Nujabes,Yes,15,10,0.0,2,15.0,Waltz for Life Will Born,Nujabes,0.726,0.294,0.303,0.6509999999999999,180.169,0.9690000000000001,0.377,33.0,"['chillhop', 'downtempo', 'japanese chillhop', 'japanese old school hip hop', 'jazz rap']"
Male,18 - 30,1 - 2,1,0,3,2,4,Throw it back ProletR,Yes,15,10,0.0,3,15.0,Throw It Back (feat. Taskrok),Proleter,0.79,0.5,0.639,0.93,171.67,0.0,0.17300000000000001,46.0,"['electro swing', 'nu jazz']"
Female,18 - 30,2+,0,2,5,2,5,Reverse skydiving Hot Natured ft. Anabel Englund,No,16,14,0.0,1,16.0,Reverse Skydiving (feat. Anabel Englund),Hot Natured,0.461,0.915,0.0771,0.5820000000000001,118.01299999999999,0.0595,0.006409999999999999,47.0,"['deep disco house', 'deep house', 'house', 'microhouse']"
Female,18 - 30,2+,0,2,5,2,5,Let's Nacho from the movie Kapoor & Sons,No,16,14,0.0,2,16.0,"Let's Nacho (From ""Kapoor & Sons (Since 1921)"")","Nucleya, Benny Dayal, Badshah",0.9470000000000001,0.742,0.0721,0.88,130.043,0.0221,0.0906,34.0,"['desi hip hop', 'desi pop', 'hindi hip hop', 'indian edm', 'indian indie']"
Female,18 - 30,2+,0,2,5,2,5,Lighthouse Nicky Romero,No,16,14,0.0,3,16.0,Lighthouse - Radio Edit,Nicky Romero,0.6990000000000001,0.604,0.341,0.3670000000000001,128.056,0.0,0.0208,44.0,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']"
Male,18 - 30,2+,4,5,2,4,4,swang Travis scott,No,17,19,1.0,1,17.0,Swang,Rae Sremmurd,0.314,0.6809999999999999,0.1,0.166,139.99200000000002,9.82e-06,0.2,73.0,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Male,18 - 30,2+,4,5,2,4,4,used to it future,No,17,19,1.0,3,17.0,In America,The Guess Who,0.82,0.363,0.32,0.8490000000000001,75.69800000000002,0.00424,0.0125,36.0,"['album rock', 'blues-rock', 'bubblegum pop', 'classic canadian rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'southern rock']"
Male,18 - 30,0 - 1,2,5,3,5,6,Ultralight Beam Kanye West,No,18,21,1.0,2,34.0,Ultralight Beam,Kanye West,0.39299999999999996,0.596,0.539,0.36,107.425,0.0,0.637,73.0,"['pop rap', 'rap']"
Male,18 - 30,0 - 1,2,5,3,5,6,Closer Chainsmokers,No,18,21,1.0,3,182.0,Closer,The Chainsmokers,0.524,0.748,0.111,0.6609999999999999,95.01,0.0,0.414,88.0,"['edm', 'electropop', 'pop', 'tropical house']"
Male,18 - 30,1 - 2,5,4,4,5,4,Famous kanye,No,19,22,1.0,2,19.0,Famous,Kanye West,0.741,0.474,0.115,0.402,174.1,0.0,0.0602,76.0,"['pop rap', 'rap']"
Male,18 - 30,1 - 2,5,4,4,5,4,Mad world jubel,No,19,22,1.0,3,19.0,Mad World,Michael Andrews,0.133,0.34600000000000003,0.109,0.332,174.291,1.11e-05,0.966,56.0,['neo mellow']
Male,18 - 30,2+,4,5,4,6,6,You Left Me Croquet Club,No,20,25,1.0,1,20.0,You Left Me,Croquet Club,0.405,0.44,0.11900000000000001,0.174,83.78,0.8759999999999999,0.97,46.0,['progressive house']
Male,18 - 30,2+,4,5,4,6,6,Steppin' Out Kaskade,No,20,25,1.0,2,20.0,Steppin' Out,Kaskade,0.915,0.7020000000000001,0.163,0.909,128.012,0.0109,0.133,32.0,"['big room', 'chicago house', 'dance pop', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house', 'vocal house']"
Male,18 - 30,2+,4,5,4,6,6,Sæglópur Sigur Rós,No,20,25,1.0,3,20.0,Sæglópur,Sigur Rós,0.483,0.32899999999999996,0.498,0.0702,101.33200000000001,0.807,0.0433,42.0,"['bow pop', 'chamber pop', 'compositional ambient', 'dream pop', 'ethereal wave', 'icelandic pop', 'icelandic rock', 'indie folk', 'melancholia', 'post-rock']"
Male,18 - 30,2+,3,4,1,4,4,Can't Forget You San Holo,No,21,16,1.0,2,21.0,Can't Forget You (feat. The Nicholas),San Holo,0.76,0.5529999999999999,0.364,0.213,131.986,0.00772,0.00282,52.0,"['bass trap', 'edm', 'electronic trap', 'pop', 'tropical house']"
Male,18 - 30,2+,3,4,1,4,4,Into You Ariana Grande,No,21,16,1.0,3,199.0,Into You,Ariana Grande,0.7340000000000001,0.623,0.145,0.3720000000000001,107.853,1.9e-06,0.0162,83.0,"['dance pop', 'pop', 'post-teen pop']"
Female,18 - 30,1 - 2,4,4,2,5,5,Broccoli D.R.A.M ft. Lil Yachty,Yes,22,20,1.0,1,22.0,Broccoli (feat. Lil Yachty),Shelley FKA DRAM,0.525,0.8859999999999999,0.057,0.708,145.99,0.0,0.23600000000000002,64.0,"['alternative r&b', 'pop rap', 'rap', 'trap', 'underground hip hop', 'virginia hip hop']"
Female,18 - 30,1 - 2,4,4,2,5,5,Dat $tick Rich Chigga,Yes,22,20,1.0,2,22.0,Dat $tick,Rich Brian,0.508,0.9229999999999999,0.126,0.168,108.039,1.21e-05,0.10400000000000001,73.0,"['indonesian hip hop', 'underground hip hop', 'vapor trap']"
Female,18 - 30,1 - 2,4,4,2,5,5,Dissolve Absofacto,Yes,22,20,1.0,3,22.0,Dissolve,Absofacto,0.5820000000000001,0.688,0.0663,0.872,85.486,0.000157,0.23,57.0,"['indie psych-pop', 'indie psych-rock', 'shimmer psych']"
Female,18 - 30,0 - 1,4,4,2,3,6,The Greatest Sia,Yes,23,19,1.0,1,154.0,The Greatest,Sia,0.725,0.6679999999999999,0.0561,0.7290000000000001,191.94400000000002,0.000479,0.0102,78.0,"['australian dance', 'australian pop', 'dance pop', 'pop']"
Female,18 - 30,0 - 1,4,4,2,3,6,11 Blocks Wrabel,Yes,23,19,1.0,2,23.0,11 Blocks,Wrabel,0.711,0.5529999999999999,0.142,0.293,99.515,0.0,0.0216,67.0,"['dance pop', 'electropop', 'indie poptimism', 'modern rock', 'neo mellow', 'pop', 'post-teen pop', 'viral pop']"
Female,18 - 30,0 - 1,4,4,2,3,6,Crazier Taylor Swift,Yes,23,19,1.0,3,23.0,Crazier,Taylor Swift,0.544,0.452,0.10400000000000001,0.158,133.042,5.33e-06,0.0631,58.0,"['dance pop', 'pop', 'post-teen pop']"
Female,18 - 30,2+,4,3,3,2,2,Justified A Day to Remember,Yes,24,14,0.0,1,24.0,Justified,A Day To Remember,0.894,0.376,0.105,0.0433,126.287,0.00132,0.000487,50.0,"['metalcore', 'pop punk', 'rap metal', 'screamo']"
Female,18 - 30,2+,4,3,3,2,2,Tidal Wave Taking Back Sunday,Yes,24,14,0.0,2,24.0,You Can't Look Back,Taking Back Sunday,0.789,0.6579999999999999,0.0965,0.27399999999999997,108.012,0.0,0.0298,49.0,"['emo', 'modern rock', 'pop punk', 'pop rock', 'screamo']"
Female,18 - 30,2+,4,3,3,2,2,Black Honey Thrice ,Yes,24,14,0.0,3,24.0,Black Honey,Thrice,0.892,0.442,0.0758,0.237,151.914,7.92e-06,0.00267,60.0,"['emo', 'modern rock', 'pop punk', 'post-hardcore', 'screamo']"
Male,18 - 30,2+,5,4,4,4,6,Diljit Do You Know,No,25,23,1.0,1,25.0,Do You Know,Diljit Dosanjh,0.7959999999999999,0.6970000000000001,0.162,0.312,85.00200000000002,0.0,0.155,51.0,"['bhangra', 'desi', 'desi hip hop', 'filmi', 'indian folk', 'indian pop', 'modern bollywood', 'punjabi', 'sufi']"
Male,18 - 30,2+,5,4,4,4,6,Mickey Singh Phone,No,25,23,1.0,2,25.0,Phone,Mickey Singh,0.693,0.44799999999999995,0.0815,0.55,91.561,2.02e-06,0.127,57.0,['desi hip hop']
Female,18 - 30,2+,5,3,4,3,6,Deuces Chris Brown ,Yes,27,21,1.0,3,27.0,Deuces,Chris Brown,0.7390000000000001,0.644,0.0772,0.231,74.154,0.0,0.0311,62.0,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
Male,18 - 30,0 - 1,3,2,4,4,4,Me Too Meghan Trainor,No,28,17,1.0,2,28.0,Me Too,Meghan Trainor,0.6940000000000001,0.934,0.478,0.835,123.829,1.2e-06,0.0962,74.0,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'r&b']"
Male,18 - 30,0 - 1,3,2,4,4,4,Uptown Funk Mark Ronson ft Bruno Mars,No,28,17,1.0,3,28.0,Uptown Funk - Radio Instrumental,Kar Play,0.569,0.899,0.0419,0.516,115.01899999999999,0.589,0.000898,10.0,[]
Male,18 - 30,1 - 2,5,3,1,4,4,Cold Water By Major Lazer justin bieber,Yes,29,17,1.0,1,29.0,Cold Water (Karaoke Piano Backing Track) [Originally Performed by Major Lazer & Justin Bieber],PianoNest,0.172,0.5670000000000001,0.24,0.198,93.009,0.9229999999999999,0.993,2.0,[]
Male,18 - 30,1 - 2,5,3,1,4,4,Count on me By Bruno Mars,Yes,29,17,1.0,2,29.0,Count On Me - Originally By Bruno Mars,Leopard Powered,0.16,0.569,0.107,0.12,177.96099999999996,0.937,0.976,0.0,[]
Male,18 - 30,2+,2,5,5,6,5,Chain Gang Sam Cooke,No,30,23,1.0,1,30.0,Chain Gang,Sam Cooke,0.6609999999999999,0.698,0.228,0.8240000000000001,131.808,0.0,0.636,58.0,"['adult standards', 'brill building pop', 'christmas', 'classic soul', 'rock-and-roll', 'soul']"
Male,18 - 30,2+,2,5,5,6,5,After Laughter Wendy Rene,No,30,23,1.0,2,30.0,After Laughter (Comes Tears) - Wendy Rene,Wendy Rene,0.21100000000000002,0.428,0.0884,0.402,185.239,5.58e-06,0.182,50.0,"['memphis soul', 'southern soul']"
Male,18 - 30,2+,2,5,5,6,5,Put me Thru Anderson Paak,No,30,23,1.0,3,30.0,Put Me Thru,Anderson .Paak,0.789,0.732,0.12300000000000001,0.607,107.978,3.11e-05,0.0459,60.0,"['escape room', 'hip hop', 'indie r&b', 'la indie', 'rap']"
Male,17 & Under,1 - 2,5,4,5,5,6,Bombae fuse odg,No,31,25,1.0,1,31.0,BomBae,Fuse ODG,0.929,0.852,0.563,0.636,110.679,4.93e-06,0.0614,52.0,"['afrobeats', 'azonto', 'dance pop', 'grime']"
Male,17 & Under,1 - 2,5,4,5,5,6,Salute jassi sidhu,No,31,25,1.0,2,31.0,Salute,Jassi Sidhu,0.963,0.754,0.0753,0.863,87.97,2.34e-05,0.064,30.0,"['bhangra', 'desi', 'desi hip hop', 'indian pop', 'punjabi']"
Female,18 - 30,0 - 1,3,3,3,4,4,A.I. OneRepublic,Yes,32,17,1.0,1,32.0,A.I.,OneRepublic,0.6709999999999999,0.7,0.114,0.24600000000000002,117.962,0.215,0.0859,52.0,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop quebecois', 'pop rap', 'pop rock']"
Female,18 - 30,0 - 1,3,3,3,4,4,Symphony Zeds Dead,Yes,32,17,1.0,2,32.0,Symphony,Zeds Dead,0.7240000000000001,0.498,0.157,0.384,145.908,6.75e-06,0.281,48.0,"['bass trap', 'brostep', 'edm', 'electro house', 'electronic trap', 'progressive electro house']"
Male,18 - 30,1 - 2,5,6,5,5,6,Don't Wanna Know Maroon 5,Yes,33,27,1.0,2,201.0,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,0.61,0.7829999999999999,0.0983,0.418,100.04700000000001,0.0,0.34299999999999997,69.0,"['pop', 'pop rock']"
Male,18 - 30,0 - 1,4,6,2,5,5,Rhinestone Cowboy Madvillain,No,34,22,1.0,1,34.0,Rhinestone Cowboy,Madvillain,0.688,0.312,0.321,0.39,141.7,0.00162,0.298,49.0,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
Male,18 - 30,0 - 1,4,6,2,5,5,N.Y. State of mind Nas,No,34,22,1.0,2,34.0,N.Y. State of Mind,Nas,0.91,0.665,0.22699999999999998,0.887,84.09899999999998,0.0,0.0394,65.0,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
Male,18 - 30,0 - 1,4,6,2,5,5,Ultralight Beam Kanye West,No,34,22,1.0,3,34.0,Ultralight Beam,Kanye West,0.39299999999999996,0.596,0.539,0.36,107.425,0.0,0.637,73.0,"['pop rap', 'rap']"
Male,18 - 30,2+,3,5,2,5,4,Find me kings of leon,No,35,19,1.0,1,35.0,Find Me,Kings of Leon,0.946,0.4,0.155,0.611,161.591,0.853,0.000136,66.0,"['garage rock', 'indie rock', 'modern rock', 'rock']"
Male,18 - 30,2+,3,5,2,5,4,Go with the flow the Queens of the stone age,No,35,19,1.0,2,35.0,Go With The Flow,Queens of the Stone Age,0.991,0.248,0.8340000000000001,0.39799999999999996,159.37,0.0462,0.0115,59.0,"['alternative metal', 'alternative rock', 'blues-rock', 'garage rock', 'modern rock', 'neo-psychedelic', 'nu metal', 'post-grunge', 'rock', 'stoner metal', 'stoner rock']"
Male,18 - 30,2+,3,5,2,5,4,Bored to death Blink 182,No,35,19,1.0,3,35.0,Bored To Death,blink-182,0.966,0.502,0.11699999999999999,0.638,159.94799999999995,1.56e-06,0.00575,63.0,"['modern rock', 'pop punk', 'punk']"
Male,18 - 30,2+,5,5,2,5,4,Breaking the chain Sum 41,No,36,21,1.0,1,36.0,Breaking The Chain,Sum 41,0.93,0.5529999999999999,0.0673,0.5379999999999999,123.20100000000001,0.0582,0.00033999999999999997,51.0,"['alternative metal', 'canadian punk', 'nu metal', 'pop punk', 'post-grunge', 'punk']"
Male,18 - 30,2+,5,5,2,5,4,Cutting shapes Don Diablo,No,36,21,1.0,2,36.0,Cutting Shapes,Don Diablo,0.91,0.6679999999999999,0.0937,0.5770000000000001,125.81200000000001,0.0,0.0254,65.0,"['big room', 'dance pop', 'deep big room', 'edm', 'electro house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']"
Male,18 - 30,2+,5,5,2,5,4,Middle DJ snake,No,36,21,1.0,3,36.0,Middle,DJ Snake,0.701,0.586,0.055,0.254,104.95700000000001,0.0,0.0203,79.0,"['dance pop', 'edm', 'electronic trap', 'pop', 'tropical house']"
Male,18 - 30,2+,5,4,6,5,2,shameless the weeknd,No,37,22,1.0,2,37.0,Shameless,The Weeknd,0.562,0.603,0.109,0.244,100.038,0.0,0.146,70.0,"['canadian pop', 'pop', 'rap']"
Male,18 - 30,2+,5,4,6,5,2,dark times the weeknd,No,37,22,1.0,3,37.0,Dark Times,The Weeknd,0.40299999999999997,0.501,0.124,0.27,132.608,1.1e-05,0.114,72.0,"['canadian pop', 'pop', 'rap']"
Female,18 - 30,1 - 2,2,4,3,1,5,Someday The Strokes,No,38,15,0.0,1,38.0,Someday,The Strokes,0.52,0.5379999999999999,0.3670000000000001,0.6779999999999999,106.031,0.0,0.00425,69.0,"['alternative rock', 'garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock']"
Female,18 - 30,1 - 2,2,4,3,1,5,Sedone Houndmouth,No,38,15,0.0,2,38.0,Sedona,Houndmouth,0.654,0.39399999999999996,0.11199999999999999,0.264,135.188,6.96e-05,0.0404,64.0,"['deep new americana', 'indie folk', 'modern folk rock', 'modern rock', 'new americana', 'rock', 'stomp and holler']"
Male,18 - 30,1 - 2,4,2,2,1,1,Perfect Illusion Lady Gaga,No,39,10,0.0,1,39.0,Perfect Illusion,Lady Gaga,0.855,0.625,0.35700000000000004,0.6679999999999999,124.977,0.0,0.0013800000000000002,71.0,"['dance pop', 'pop', 'post-teen pop']"
Male,18 - 30,1 - 2,4,2,2,1,1,Alive Sia,No,39,10,0.0,2,39.0,Alive,Sia,0.762,0.508,0.10800000000000001,0.444,99.963,0.000122,0.254,68.0,"['australian dance', 'australian pop', 'dance pop', 'pop']"
Male,18 - 30,1 - 2,4,2,2,1,1,All I ask Adele,No,39,10,0.0,3,39.0,All I Ask,Adele,0.28300000000000003,0.5870000000000001,0.149,0.34299999999999997,141.961,0.0,0.882,70.0,['pop']
Male,30+,1 - 2,4,5,5,5,5,Treacherous  Taylor Swift ,No,41,24,1.0,1,41.0,Treacherous,Taylor Swift,0.609,0.7,0.14400000000000002,0.392,109.98,5.25e-06,0.0852,57.0,"['dance pop', 'pop', 'post-teen pop']"
Male,30+,1 - 2,4,5,5,5,5,Carolina in my mind James Taylor ,No,41,24,1.0,2,41.0,Carolina In My Mind,James Taylor,0.267,0.579,0.132,0.353,74.899,0.000562,0.11800000000000001,67.0,"['adult standards', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
Male,30+,1 - 2,4,5,5,5,5,Wild horses Rolling Stones ,No,41,24,1.0,3,41.0,Wild Horses,The Rolling Stones,0.40399999999999997,0.371,0.0805,0.153,74.38600000000002,0.004529999999999999,0.669,69.0,"['album rock', 'british invasion', 'classic rock', 'protopunk', 'rock']"
Male,18 - 30,9,0,3,0,0,3,Low Trace,No,42,6,0.0,1,42.0,Low,TRACE,0.809,0.499,0.22399999999999998,0.168,140.03799999999998,0.41600000000000004,0.0045899999999999995,58.0,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
Male,18 - 30,9,0,3,0,0,3,Final Song Mo,No,42,6,0.0,2,42.0,Final Song,MØ,0.672,0.695,0.0756,0.245,104.988,8.44e-05,0.013999999999999999,74.0,"['dance pop', 'danish pop', 'electropop', 'pop', 'tropical house']"
Male,18 - 30,9,0,3,0,0,3,Closer Chainsmokers,No,42,6,0.0,3,182.0,Closer,The Chainsmokers,0.524,0.748,0.111,0.6609999999999999,95.01,0.0,0.414,88.0,"['edm', 'electropop', 'pop', 'tropical house']"
Female,18 - 30,1 - 2,3,5,4,5,3,Come Together The Beatles,No,43,20,1.0,2,43.0,Come Together - Remastered 2009,The Beatles,0.376,0.5329999999999999,0.0926,0.187,165.007,0.248,0.0302,79.0,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']"
